Organism	NCBI_taxon_id	Is Reference Strain	Species	Chromosomes
Coccidioides immitis RS	5501	yes	Coccidioides immitis	0
Coccidioides immitis WA_211	5501	no	Coccidioides immitis	0
Coccidioides posadasii C735 delta SOWgp	199306	no	Coccidioides posadasii	0
Coccidioides posadasii CPA 0001	199306	no	Coccidioides posadasii	0
Coccidioides posadasii CPA 0020	199306	no	Coccidioides posadasii	0
Coccidioides posadasii CPA 0066	199306	no	Coccidioides posadasii	0
Coccidioides posadasii RMSCC 1037	199306	no	Coccidioides posadasii	0
Coccidioides posadasii RMSCC 1038	199306	no	Coccidioides posadasii	0
Coccidioides posadasii RMSCC 2133	199306	no	Coccidioides posadasii	0
Coccidioides posadasii RMSCC 3488	199306	no	Coccidioides posadasii	0
Coccidioides posadasii RMSCC 3700	199306	no	Coccidioides posadasii	0
Coccidioides posadasii str. Silveira	199306	yes	Coccidioides posadasii	0
Coccidioides posadasii strain Silveira 2022	199306	no	Coccidioides posadasii	8
Colletotrichum graminicola M1.001	31870	yes	Colletotrichum graminicola	0
Colletotrichum higginsianum IMI 349063	80884	yes	Colletotrichum higginsianum	11
Coprinopsis cinerea #326	5346	no	Coprinopsis cinerea	0
Coprinopsis cinerea okayama7#130	5346	yes	Coprinopsis cinerea	0
Cordyceps militaris ATCC 34164	73501	yes	Cordyceps militaris	7
Cryptococcus cf. gattii MF34	2011032	yes	Cryptococcus cf. gattii	13
Cryptococcus depauperatus CBS 7841	5208	yes	Cryptococcus depauperatus	0
Cryptococcus depauperatus CBS 7855	5208	no	Cryptococcus depauperatus	0
Cryptococcus gattii VGI EJB2	37769	no	Cryptococcus gattii VGI	0
Cryptococcus gattii VGI NT10	37769	no	Cryptococcus gattii VGI	0
Cryptococcus gattii VGI WM276	37769	yes	Cryptococcus gattii VGI	14
Cryptococcus gattii VGII R265	1859096	yes	Cryptococcus gattii VGII	14
Cryptococcus gattii VGIII CA1873	552467	no	Cryptococcus gattii VGIII	0
Cryptococcus gattii VGIV IND107	1859121	no	Cryptococcus gattii VGIV	0
Cryptococcus neoformans strain:VNII	5207	no	Cryptococcus neoformans	14
Cryptococcus neoformans var. grubii H99	5207	no	Cryptococcus neoformans	14
Cryptococcus neoformans var. grubii H99 2018	5207	no	Cryptococcus neoformans	0
Cryptococcus neoformans var. grubii KN99	5207	no	Cryptococcus neoformans	14
Cryptococcus neoformans var. neoformans B-3501A	5207	no	Cryptococcus neoformans	14
Cryptococcus neoformans var. neoformans JEC21	5207	yes	Cryptococcus neoformans	14
Cryptococcus neoformans var. neoformans XL280	5207	no	Cryptococcus neoformans	5
Cyberlindnera fabianii 65	36022	yes	Cyberlindnera fabianii	0
Cyphellophora europaea CBS 101466	293227	yes	Cyphellophora europaea	0
Debaryomyces fabryi CBS 789	58627	yes	Debaryomyces fabryi	0
Debaryomyces hansenii CBS767	4959	yes	Debaryomyces hansenii	7
Diutina rugosa CBS 613	5481	yes	Diutina rugosa	0
Emergomyces africanus CBS 136260	1955775	yes	Emergomyces africanus	0
Emergomyces orientalis 5z489	1972497	yes	Emergomyces orientalis	0
Emergomyces pasteurianus Ep9510	1955774	yes	Emergomyces pasteurianus	0
Emmonsia crescens UAMH 3008	73230	yes	Emmonsia crescens	0
Epichloe festucae Fl1	35717	yes	Epichloe festucae	7
Epichloe glyceriae E277	79591	yes	Epichloe glyceriae	0
Exophiala aquamarina CBS 119918	1033840	yes	Exophiala aquamarina	0
Exophiala dermatitidis NIH/UT8656	5970	yes	Exophiala dermatitidis	0
Exophiala mesophila strain CBS 40295	212818	yes	Exophiala mesophila	0
Exophiala oligosperma strain CBS 72588	215243	yes	Exophiala oligosperma	0
Exophiala spinifera CBS 89968	91928	yes	Exophiala spinifera	0
Fonsecaea pedrosoi CBS 271.37	40355	yes	Fonsecaea pedrosoi	0
Fusarium circinatum NRRL 25331	48490	yes	Fusarium circinatum	0
Fusarium fujikuroi IMI 58289	5127	yes	Fusarium fujikuroi	12
Fusarium graminearum DAOM 233423	5518	no	Fusarium graminearum	0
Fusarium graminearum PH-1	5518	yes	Fusarium graminearum	4
Fusarium mangiferae MRC7560	192010	yes	Fusarium mangiferae	0
Fusarium odoratissimum NRRL 54006	2502994	no	Fusarium odoratissimum	0
Fusarium odoratissimum strain race 4	2502994	yes	Fusarium odoratissimum	0
Fusarium oxysporum f. sp. conglutinans Fo5176	5507	no	Fusarium oxysporum	15
Fusarium oxysporum f. sp. cubense race 1	5507	no	Fusarium oxysporum	0
Fusarium oxysporum f. sp. lycopersici 4287	5507	yes	Fusarium oxysporum	15
Fusarium oxysporum f. sp. melonis 26406	5507	no	Fusarium oxysporum	0
Fusarium oxysporum Fo47	5507	no	Fusarium oxysporum	0
Fusarium oxysporum NRRL 32931	5507	no	Fusarium oxysporum	0
Fusarium proliferatum ET1	948311	yes	Fusarium proliferatum	0
Fusarium proliferatum strain NRRL62905	948311	no	Fusarium proliferatum	0
Fusarium solani FSSC 5 MPI-SDFR-AT-0091	169388	yes	Fusarium solani	0
Fusarium vanettenii 77-13-4	2747968	yes	Fusarium vanettenii	0
Fusarium verticillioides 7600	117187	yes	Fusarium verticillioides	11
Gaeumannomyces tritici R3-111a-1	36779	yes	Gaeumannomyces tritici	0
Hanseniaspora guilliermondii strain UTAD222	56406	yes	Hanseniaspora guilliermondii	0
Hanseniaspora uvarum strain AWRI3580	29833	yes	Hanseniaspora uvarum	0
Hemileia vastatrix Race XXXIII	203904	yes	Hemileia vastatrix	0
Histoplasma capsulatum G184AR	5037	no	Histoplasma capsulatum	0
Histoplasma capsulatum G186AR	5037	no	Histoplasma capsulatum	6
Histoplasma capsulatum G217B	5037	yes	Histoplasma capsulatum	0
Histoplasma capsulatum H143	5037	no	Histoplasma capsulatum	0
Histoplasma capsulatum H88	5037	no	Histoplasma capsulatum	6
Histoplasma capsulatum NAm1	5037	no	Histoplasma capsulatum	0
Hortaea werneckii EXF-2000	91943	yes	Hortaea werneckii	0
Kluyveromyces lactis NRRL Y-1140	28985	yes	Kluyveromyces lactis	6
Kluyveromyces marxianus DMKU3-1042	4911	yes	Kluyveromyces marxianus	8
Kwoniella bestiolae CBS 10118	324769	yes	Kwoniella bestiolae	0
Kwoniella dejecticola CBS 10117	324770	yes	Kwoniella dejecticola	0
Kwoniella heveanensis CBS 569	89924	yes	Kwoniella heveanensis	0
Kwoniella mangrovensis CBS8507	463800	yes	Kwoniella mangrovensis	0
Lentinus tigrinus ALCF2SS1-7	5365	yes	Lentinus tigrinus	0
Lichtheimia corymbifera JMRC:FSU:9682	42458	yes	Lichtheimia corymbifera	0
Lichtheimia ramosa KPH11	688394	yes	Lichtheimia ramosa	10
Lodderomyces elongisporus NRRL YB-4239	36914	yes	Lodderomyces elongisporus	0
Lomentospora prolificans JHH-5317	41688	yes	Lomentospora prolificans	0
Macrophomina phaseolina MS6	35725	yes	Macrophomina phaseolina	0
Magnaporthiopsis poae ATCC 64411	148304	yes	Magnaporthiopsis poae	0
Malassezia globosa CBS 7966	76773	yes	Malassezia globosa	0
Malassezia pachydermatis CBS 1879	77020	yes	Malassezia pachydermatis	0
Malassezia restricta CBS 7877	76775	no	Malassezia restricta	9
Malassezia restricta KCTC 27527	76775	yes	Malassezia restricta	9
Malassezia sympodialis ATCC 42132	76777	yes	Malassezia sympodialis	8
Melampsora larici-populina 98AG31	203908	yes	Melampsora larici-populina	0
Metarhizium anisopliae ARSEF 549	5530	yes	Metarhizium anisopliae	0
Meyerozyma guilliermondii ATCC 6260	4929	yes	Meyerozyma guilliermondii	0
Microsporum canis CBS 113480	63405	yes	Microsporum canis	0
Monilinia fructicola CPMC6	38448	yes	Monilinia fructicola	0
Mucor circinelloides 1006PhL	36080	yes	Mucor circinelloides	0
Mucor lusitanicus CBS 277.49	29924	yes	Mucor lusitanicus	0
Naganishia albida JCM2334	100951	no	Naganishia albida	0
Naganishia albida NRRL Y-1402	100951	yes	Naganishia albida	0
Nakaseomyces glabratus BG2	5478	no	Nakaseomyces glabratus	13
Nakaseomyces glabratus BG3993	5478	no	Nakaseomyces glabratus	13
Nakaseomyces glabratus CBS 138	5478	yes	Nakaseomyces glabratus	13
Nakaseomyces glabratus CBS138 2020	5478	no	Nakaseomyces glabratus	13
Nakaseomyces glabratus DSY562	5478	no	Nakaseomyces glabratus	13
Nannizzia gypsea CBS 118893	63402	yes	Nannizzia gypsea	0
Neurospora crassa OR74A	5141	yes	Neurospora crassa	7
Neurospora discreta FGSC 8579	29879	yes	Neurospora discreta	0
Neurospora tetrasperma FGSC 2508	40127	yes	Neurospora tetrasperma	0
Ophiostoma piceae UAMH 11346	61273	yes	Ophiostoma piceae	0
Paracoccidioides brasiliensis Pb03	121759	yes	Paracoccidioides brasiliensis	0
Paracoccidioides brasiliensis Pb18	121759	no	Paracoccidioides brasiliensis	0
Paracoccidioides lutzii Pb01	1048829	yes	Paracoccidioides lutzii	0
Parastagonospora nodorum SN15	13684	yes	Parastagonospora nodorum	23
Penicilliopsis zonata CBS 506.65	41063	yes	Penicilliopsis zonata	0
Penicillium rubens Wisconsin 54-1255	1108849	yes	Penicillium rubens	0
Phanerochaete chrysosporium RP-78	5306	yes	Phanerochaete chrysosporium	0
Phycomyces blakesleeanus NRRL 1555(-)	4837	yes	Phycomyces blakesleeanus	0
Pichia kudriavzevii strain CBS5147	4909	no	Pichia kudriavzevii	5
Pichia kudriavzevii strain CBS573	4909	yes	Pichia kudriavzevii	5
Pleurotus ostreatus PC15	5322	yes	Pleurotus ostreatus	0
Pleurotus ostreatus PC9	5322	no	Pleurotus ostreatus	0
Pneumocystis canis CanA	2698477	yes	Pneumocystis canis	0
Pneumocystis carinii B80	4754	yes	Pneumocystis carinii	0
Pneumocystis jirovecii RU7	42068	no	Pneumocystis jirovecii	0
Pneumocystis jirovecii SE8	42068	yes	Pneumocystis jirovecii	0
Pneumocystis murina B123	263815	yes	Pneumocystis murina	0
Pneumocystis oryctolagi CS1	42067	yes	Pneumocystis oryctolagi	0
Pneumocystis sp. 'macacae' P2C	2698480	yes	Pneumocystis sp. 'macacae'	16
Pneumocystis wakefieldiae 2A	38082	yes	Pneumocystis wakefieldiae	17
Podospora anserina S mat+	2587412	yes	Podospora anserina	0
Podospora comata strain T mat+	48703	yes	Podospora comata	7
Pseudogymnoascus destructans 20631-21	655981	yes	Pseudogymnoascus destructans	0
Puccinia graminis f. sp. tritici CRL 75-36-700-3	5297	yes	Puccinia graminis	0
Puccinia sorghi strain RO10H11247	27349	yes	Puccinia sorghi	0
Puccinia striiformis 93TX-2	27350	no	Puccinia striiformis	0
Puccinia striiformis strain 93-210	27350	yes	Puccinia striiformis	0
Puccinia triticina 1-1 BBBD Race 1	208348	yes	Puccinia triticina	0
Pyricularia oryzae 70-15	318829	yes	Pyricularia oryzae	7
Pyricularia oryzae BR32	318829	no	Pyricularia oryzae	0
Raffaelea lauricola RL4	483707	yes	Raffaelea lauricola	0
Rhinocladiella mackenziei CBS 650.93	86056	yes	Rhinocladiella mackenziei	0
Rhizophagus irregularis A1 (DAOM-664342)	588596	no	Rhizophagus irregularis	0
Rhizophagus irregularis C2	588596	no	Rhizophagus irregularis	33
Rhizophagus irregularis DAOM 181602=DAOM 197198	588596	yes	Rhizophagus irregularis	0
Rhizopus delemar RA 99-880	936053	yes	Rhizopus delemar	0
Rhizopus microsporus var. microsporus ATCC 52814	58291	yes	Rhizopus microsporus	0
Rickenella mellea Ricmel1	50990	yes	Rickenella mellea	0
Saccharomyces cerevisiae S288C	4932	yes	Saccharomyces cerevisiae	16
Saccharomyces paradoxus CBS432	27291	yes	Saccharomyces paradoxus	16
Saccharomycodes ludwigii UTAD17	36035	yes	Saccharomycodes ludwigii	0
Scedosporium apiospermum IHEM 14462	563466	yes	Scedosporium apiospermum	0
Schizophyllum commune H4-8	5334	yes	Schizophyllum commune	0
Schizosaccharomyces japonicus yFS275	4897	yes	Schizosaccharomyces japonicus	0
Schizosaccharomyces octosporus yFS286	4899	yes	Schizosaccharomyces octosporus	0
Schizosaccharomyces pombe 972h-	4896	yes	Schizosaccharomyces pombe	3
Sclerotinia sclerotiorum 1980 UF-70	5180	yes	Sclerotinia sclerotiorum	16
Sordaria macrospora k-hell	5147	yes	Sordaria macrospora	0
Spizellomyces punctatus DAOM BR117	109760	yes	Spizellomyces punctatus	0
Sporisorium reilianum SRZ2	72558	yes	Sporisorium reilianum	23
Sporothrix brasiliensis 5110	545650	yes	Sporothrix brasiliensis	0
Sporothrix schenckii 1099-18	29908	yes	Sporothrix schenckii	0
Stachybotrys chartarum IBT 40293	74722	yes	Stachybotrys chartarum	0
Synchytrium endobioticum MB42	286115	yes	Synchytrium endobioticum	0
Talaromyces marneffei ATCC 18224	37727	yes	Talaromyces marneffei	0
Talaromyces marneffei TM4	37727	no	Talaromyces marneffei	8
Talaromyces stipitatus ATCC 10500	28564	yes	Talaromyces stipitatus	0
Taphrina deformans PYCC 5710	5011	yes	Taphrina deformans	0
Thermothelomyces thermophilus ATCC 42464	78579	yes	Thermothelomyces thermophilus	7
Tremella mesenterica DSM 1558	5217	yes	Tremella mesenterica	0
Trichoderma atroviride strain JCM 9410	63577	yes	Trichoderma atroviride	0
Trichoderma reesei QM6a	51453	yes	Trichoderma reesei	0
Trichoderma reesei QM6a 2017	51453	no	Trichoderma reesei	7
Trichoderma virens Gv29-8	29875	yes	Trichoderma virens	0
Trichomonascus ciferrii CBS 4856	44093	yes	Trichomonascus ciferrii	0
Trichophyton equinum CBS 127.97	63418	yes	Trichophyton equinum	0
Trichophyton mentagrophytes TIMM 2789	523103	yes	Trichophyton mentagrophytes	0
Trichophyton rubrum CBS 118892	5551	yes	Trichophyton rubrum	0
Trichophyton tonsurans CBS 112818	34387	yes	Trichophyton tonsurans	0
Trichosporon asahii var. asahii CBS 2479	82508	yes	Trichosporon asahii	0
Uncinocarpus reesii 1704	33188	yes	Uncinocarpus reesii	0
Ustilago maydis 521	5270	yes	Ustilago maydis	23
Verruconis gallopava strain CBS 43764	253628	yes	Verruconis gallopava	0
Verticillium dahliae JR2	27337	yes	Verticillium dahliae	8
Yarrowia lipolytica CLIB122	4952	yes	Yarrowia lipolytica	6
Yarrowia lipolytica CLIB89 (W29)	4952	no	Yarrowia lipolytica	6
Zymoseptoria tritici IPO323	1047171	yes	Zymoseptoria tritici	21
Zymoseptoria tritici ST99CH_3D1	1047171	no	Zymoseptoria tritici	21
